"Date","Standard Major Group","Standard Submajor Group","Occupation","Occupation Code","Count"
2010-12-31,"Technicians and Trades Workers","Construction Trades Workers","Glazier","333111",3
2010-12-31,"Technicians and Trades Workers","Construction Trades Workers","Painting Trades Worker","332211",0
2010-12-31,"Technicians and Trades Workers","Construction Trades Workers","Plumber (General)","334111",3
2010-12-31,"Technicians and Trades Workers","Construction Trades Workers","Stonemason","331112",3
2010-12-31,"Technicians and Trades Workers","Construction Trades Workers","Wall and Floor Tiler","333411",3
2010-12-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Airconditioning and Refrigeration Mechanic","342111",9
2010-12-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Cabler (Data and Telecommunications)","342411",0
2010-12-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Electrical Linesworker (Aus) / Electrical Line Mechanic (NZ)","342211",0
2010-12-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Electrician (General)","341111",9
2010-12-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Electrician (Special Class)","341112",0
2010-12-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Electronic Equipment Trades Worker","342313",3
2010-12-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Telecommunications Cable Jointer","342412",0
2010-12-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Telecommunications Technician","342414",6
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Anaesthetic Technician","311211",0
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Architectural Draftsperson","312111",0
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Building Associate","312112",0
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Chemistry Technician","311411",6
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Civil Engineering Draftsperson","312211",0
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Civil Engineering Technician","312212",3
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Electrical Engineering Technician","312312",3
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Electronic Engineering Technician","312412",3
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Hardware Technician","313111",3
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","ICT Customer Support Officer","313112",9
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","ICT Support Technicians nec","313199",12
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Life Science Technician","311413",0
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Maintenance Planner","312911",3
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Mechanical Engineering Draftsperson","312511",3
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Mechanical Engineering Technician","312512",0
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Medical Laboratory Technician","311213",3
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Metallurgical or Materials Technician","312912",0
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Pathology Collector (Aus) / Phlebotomist (NZ)","311216",3
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Science Technicians nec","311499",3
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Telecommunications Technical Officer or Technologist","313214",3
2010-12-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Web Administrator","313113",0
2010-12-31,"Technicians and Trades Workers","Food Trades Workers","Baker","351111",21
2010-12-31,"Technicians and Trades Workers","Food Trades Workers","Chef","351311",48
2010-12-31,"Technicians and Trades Workers","Food Trades Workers","Cook","351411",6
2010-12-31,"Technicians and Trades Workers","Food Trades Workers","Pastrycook","351112",3
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Boat Builder and Repairer","399111",0
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Cabinetmaker","394111",3
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Chemical Plant Operator","399211",3
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Clothing Patternmaker","393212",3
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Dressmaker or Tailor","393213",3
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Fire Protection Equipment Technician","399918",3
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Hairdresser","391111",3
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Jeweller","399411",0
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Performing Arts Technicians nec","399599",3
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Plastics Technician","399916",0
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Printing Machinist","392311",3
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Sail Maker","393113",0
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Technicians and Trades Workers nec","399999",3
2010-12-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Upholsterer","393311",0
2010-12-31,"Technicians and Trades Workers","Skilled Animal and Horticultural Workers","Horse Trainer","361112",3
2010-12-31,"Technicians and Trades Workers","Skilled Animal and Horticultural Workers","Landscape Gardener","362213",0
2010-12-31,"Technicians and Trades Workers","Skilled Animal and Horticultural Workers","Nurseryperson","362411",3
2011-01-31,"(not recorded)","(not recorded)","(not recorded)","(not recorded)",21
2011-01-31,"Clerical and Administrative Workers","General Clerical Workers","General Clerk","531111",0
2011-01-31,"Clerical and Administrative Workers","Inquiry Clerks and Receptionists","Call or Contact Centre Team Leader","541111",0
2011-01-31,"Clerical and Administrative Workers","Numerical Clerks","Bank Worker","552111",0
2011-01-31,"Clerical and Administrative Workers","Numerical Clerks","Cost Clerk","551112",0
2011-01-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Office Manager","512111",9
2011-01-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Program or Project Administrator","511112",6
2011-01-31,"Clerical and Administrative Workers","Other Clerical and Administrative Workers","Clerical and Administrative Workers nec","599999",3
2011-01-31,"Clerical and Administrative Workers","Other Clerical and Administrative Workers","Human Resources Clerk","599411",3
2011-01-31,"Clerical and Administrative Workers","Other Clerical and Administrative Workers","Insurance Loss Adjuster","599612",0
2011-01-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Legal Secretary","521212",3
2011-01-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Personal Assistant","521111",0
2011-01-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Secretary (General)","521211",3
2011-01-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Community Worker","411711",3
2011-01-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Dental Technician","411213",0
2011-01-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Enrolled Nurse","411411",3
2011-01-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Intensive Care Ambulance Paramedic (Aus) / Ambulance Paramedic (NZ)","411112",0
2011-01-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Massage Therapist","411611",0
2011-01-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Residential Care Officer","411715",0
2011-01-31,"Community and Personal Service Workers","Hospitality Workers","Hospitality Workers nec","431999",3
2011-01-31,"Community and Personal Service Workers","Hospitality Workers","Hotel Service Manager","431411",6
2011-01-31,"Community and Personal Service Workers","Protective Service Workers","Prison Officer","442111",3
2011-01-31,"Community and Personal Service Workers","Sports and Personal Service Workers","Lifeguard","452414",0
2011-01-31,"Community and Personal Service Workers","Sports and Personal Service Workers","Other Sports Coach or Instructor","452317",3
2011-01-31,"Community and Personal Service Workers","Sports and Personal Service Workers","Tennis Coach","452316",0
2011-01-31,"Labourers","Farm, Forestry and Garden Workers","Dairy Cattle Farm Worker","841512",3
2011-01-31,"Legislators, Administrators and Managers","Corporate Managers","Market Development Manager","12241",0
2011-01-31,"Machinery Operators and Drivers","Machine and Stationary Plant Operators","Engineering Production Worker","712311",0
2011-01-31,"Machinery Operators and Drivers","Machine and Stationary Plant Operators","Reinforced Plastic and Composite Production Worker","711515",3
2011-01-31,"Managers","Chief Executives, General Managers and Legislators","Chief Executive or Managing Director","111111",3
2011-01-31,"Managers","Chief Executives, General Managers and Legislators","Corporate General Manager","111211",3
2011-01-31,"Managers","Farmers and Farm Managers","Apiarist","121311",0
2011-01-31,"Managers","Farmers and Farm Managers","Dairy Cattle Farmer","121313",12
2011-01-31,"Managers","Farmers and Farm Managers","Grape Grower","121215",3
2011-01-31,"Managers","Farmers and Farm Managers","Vegetable Grower (Aus) / Market Gardener (NZ)","121221",0
2011-01-31,"Managers","Hospitality, Retail and Service Managers","Accommodation and Hospitality Managers nec","141999",0
2011-01-31,"Managers","Hospitality, Retail and Service Managers","Cafe or Restaurant Manager","141111",30
2011-01-31,"Managers","Hospitality, Retail and Service Managers","Call or Contact Centre Manager","149211",0
2011-01-31,"Managers","Hospitality, Retail and Service Managers","Conference and Event Organiser","149311",0
2011-01-31,"Managers","Hospitality, Retail and Service Managers","Customer Service Manager","149212",3
2011-01-31,"Managers","Hospitality, Retail and Service Managers","Facilities Manager","149913",3
2011-01-31,"Managers","Hospitality, Retail and Service Managers","Financial Institution Branch Manager","149914",3
2011-01-31,"Managers","Hospitality, Retail and Service Managers","Hair or Beauty Salon Manager","142114",0
2011-01-31,"Managers","Hospitality, Retail and Service Managers","Hospitality, Retail and Service Managers nec","149999",6
2011-01-31,"Managers","Hospitality, Retail and Service Managers","Hotel or Motel Manager","141311",3
2011-01-31,"Managers","Hospitality, Retail and Service Managers","Retail Manager (General)","142111",30
2011-01-31,"Managers","Specialist Managers","Construction Project Manager","133111",3
2011-01-31,"Managers","Specialist Managers","Corporate Services Manager","132111",0
2011-01-31,"Managers","Specialist Managers","Education Managers nec","134499",0
2011-01-31,"Managers","Specialist Managers","Engineering Manager","133211",3
2011-01-31,"Managers","Specialist Managers","Finance Manager","132211",3
2011-01-31,"Managers","Specialist Managers","Human Resource Manager","132311",0
2011-01-31,"Managers","Specialist Managers","ICT Managers nec","135199",3
2011-01-31,"Managers","Specialist Managers","ICT Project Manager","135112",6
2011-01-31,"Managers","Specialist Managers","Importer or Exporter","133311",0
2011-01-31,"Managers","Specialist Managers","Manufacturer","133411",0
2011-01-31,"Managers","Specialist Managers","Policy and Planning Manager","132411",3
2011-01-31,"Managers","Specialist Managers","Project Builder","133112",3
2011-01-31,"Managers","Specialist Managers","Sales and Marketing Manager","131112",9
2011-01-31,"Managers","Specialist Managers","Specialist Managers nec","139999",3
2011-01-31,"Managers","Specialist Managers","Supply and Distribution Manager","133611",3
2011-01-31,"Managers","Specialist Managers","Welfare Centre Manager","134214",0
2011-01-31,"Professionals","Arts and Media Professionals","Media Producer (excluding Video)","212112",0
2011-01-31,"Professionals","Arts and Media Professionals","Radio Presenter","212113",3
2011-01-31,"Professionals","Arts and Media Professionals","Technical Director","212317",3
2011-01-31,"Professionals","Arts and Media Professionals","Technical Writer","212415",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Accountant (General)","221111",12
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Economist","224311",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","External Auditor","221213",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Finance Broker","222112",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Financial Brokers nec","222199",0
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Financial Investment Adviser","222311",0
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Health Information Manager","224213",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Human Resource Adviser","223111",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","ICT Business Development Manager","225212",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","ICT Sales Representative","225213",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","ICT Trainer","223211",0
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Internal Auditor","221214",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Liaison Officer","224912",0
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Librarian","224611",0
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Management Accountant","221112",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Management Consultant","224711",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Marketing Specialist","225113",6
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Migration Agent","224913",0
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Policy Analyst","224412",0
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Recruitment Consultant","223112",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Sales Representative (Industrial Products)","225411",0
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Taxation Accountant","221113",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Technical Sales Representatives nec","225499",3
2011-01-31,"Professionals","Business, Human Resource and Marketing Professionals","Training and Development Professional","223311",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Aeronautical Engineer","233911",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Agricultural Consultant","234111",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Agricultural Scientist","234112",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Biochemist","234513",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Chemical Engineer","233111",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Chemist","234211",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Civil Engineer","233211",6
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Electrical Engineer","233311",9
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Electronics Engineer","233411",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Engineering Professionals nec","233999",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Environmental Research Scientist","234313",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Fashion Designer","232311",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Food Technologist","234212",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Forester (Aus) / Forest Scientist (NZ)","234113",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Geotechnical Engineer","233212",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Graphic Designer","232411",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Industrial Engineer","233511",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Marine Transport Professionals nec","231299",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Materials Engineer","233112",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Mechanical Engineer","233512",6
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Medical Laboratory Scientist","234611",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Metallurgist","234912",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Microbiologist","234517",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Multimedia Designer","232413",6
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Physicist","234914",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Production or Plant Engineer","233513",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Quantity Surveyor","233213",3
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Ship's Engineer","231212",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Structural Engineer","233214",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Surveyor","232212",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Transport Engineer","233215",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Urban and Regional Planner","232611",0
2011-01-31,"Professionals","Design, Engineering, Science and Transport Professionals","Veterinarian","234711",0
2011-01-31,"Professionals","Education Professionals","Early Childhood (Pre-primary School) Teacher","241111",6
2011-01-31,"Professionals","Education Professionals","Primary School Teacher","241213",6
2011-01-31,"Professionals","Education Professionals","Private Tutors and Teachers nec","249299",3
2011-01-31,"Professionals","Education Professionals","Secondary School Teacher","241411",15
2011-01-31,"Professionals","Education Professionals","University Lecturer","242111",15
2011-01-31,"Professionals","Education Professionals","University Tutor","242112",0
2011-01-31,"Professionals","Health Professionals","Acupuncturist","252211",3
2011-01-31,"Professionals","Health Professionals","Anaesthetist","253211",3
2011-01-31,"Professionals","Health Professionals","Audiologist","252711",3
2011-01-31,"Professionals","Health Professionals","Complementary Health Therapists nec","252299",0
2011-01-31,"Professionals","Health Professionals","Dentist","252312",3
2011-01-31,"Professionals","Health Professionals","Dietitian","251111",3
2011-01-31,"Professionals","Health Professionals","General Practitioner","253111",3
2011-01-31,"Professionals","Health Professionals","Hospital Pharmacist","251511",0
2011-01-31,"Professionals","Health Professionals","Medical Diagnostic Radiographer","251211",0
2011-01-31,"Professionals","Health Professionals","Medical Practitioners nec","253999",3
2011-01-31,"Professionals","Health Professionals","Medical Radiation Therapist","251212",0
2011-01-31,"Professionals","Health Professionals","Midwife","254111",0
2011-01-31,"Professionals","Health Professionals","Nurse Manager","254311",3
2011-01-31,"Professionals","Health Professionals","Nurse Practitioner","254411",0
2011-01-31,"Professionals","Health Professionals","Obstetrician and Gynaecologist","253913",0
2011-01-31,"Professionals","Health Professionals","Occupational Therapist","252411",0
2011-01-31,"Professionals","Health Professionals","Osteopath","252112",0
2011-01-31,"Professionals","Health Professionals","Pathologist","253915",0
2011-01-31,"Professionals","Health Professionals","Physiotherapist","252511",3
2011-01-31,"Professionals","Health Professionals","Psychiatrist","253411",0
2011-01-31,"Professionals","Health Professionals","Registered Nurse (Aged Care)","254412",33
2011-01-31,"Professionals","Health Professionals","Registered Nurse (Child and Family Health)","254413",3
2011-01-31,"Professionals","Health Professionals","Registered Nurse (Critical Care and Emergency)","254415",3
2011-01-31,"Professionals","Health Professionals","Registered Nurse (Developmental Disability)","254416",3
2011-01-31,"Professionals","Health Professionals","Registered Nurse (Medical Practice)","254421",0
2011-01-31,"Professionals","Health Professionals","Registered Nurse (Medical)","254418",9
2011-01-31,"Professionals","Health Professionals","Registered Nurse (Mental Health)","254422",3
2011-01-31,"Professionals","Health Professionals","Registered Nurse (Perioperative)","254423",3
2011-01-31,"Professionals","Health Professionals","Registered Nurse (Surgical)","254424",6
2011-01-31,"Professionals","Health Professionals","Registered Nurses nec","254499",3
2011-01-31,"Professionals","Health Professionals","Resident Medical Officer","253112",12
2011-01-31,"Professionals","Health Professionals","Speech Pathologist (Aus) / Speech Language Therapist (NZ)","252712",0
2011-01-31,"Professionals","ICT Professionals","Analyst Programmer","261311",3
2011-01-31,"Professionals","ICT Professionals","Computer Network and Systems Engineer","263111",9
2011-01-31,"Professionals","ICT Professionals","Database Administrator","262111",6
2011-01-31,"Professionals","ICT Professionals","Developer Programmer","261312",0
2011-01-31,"Professionals","ICT Professionals","ICT Business Analyst","261111",6
2011-01-31,"Professionals","ICT Professionals","ICT Quality Assurance Engineer","263211",0
2011-01-31,"Professionals","ICT Professionals","ICT Security Specialist","262112",3
2011-01-31,"Professionals","ICT Professionals","ICT Support and Test Engineers nec","263299",3
2011-01-31,"Professionals","ICT Professionals","ICT Support Engineer","263212",0
2011-01-31,"Professionals","ICT Professionals","ICT Systems Test Engineer","263213",3
2011-01-31,"Professionals","ICT Professionals","Network Administrator","263112",6
2011-01-31,"Professionals","ICT Professionals","Software and Applications Programmers nec","261399",3
2011-01-31,"Professionals","ICT Professionals","Software Engineer","261313",12
2011-01-31,"Professionals","ICT Professionals","Software Tester","261314",3
2011-01-31,"Professionals","ICT Professionals","Systems Administrator","262113",3
2011-01-31,"Professionals","ICT Professionals","Systems Analyst","261112",6
2011-01-31,"Professionals","ICT Professionals","Telecommunications Engineer","263311",0
2011-01-31,"Professionals","ICT Professionals","Telecommunications Network Engineer","263312",0
2011-01-31,"Professionals","ICT Professionals","Web Developer","261212",0
2011-01-31,"Professionals","Legal, Social and Welfare Professionals","Clinical Psychologist","272311",3
2011-01-31,"Professionals","Legal, Social and Welfare Professionals","Educational Psychologist","272312",0
2011-01-31,"Professionals","Legal, Social and Welfare Professionals","Interpreter","272412",0
2011-01-31,"Professionals","Legal, Social and Welfare Professionals","Minister of Religion","272211",12
2011-01-31,"Professionals","Legal, Social and Welfare Professionals","Social Worker","272511",3
2011-01-31,"Professionals","Legal, Social and Welfare Professionals","Translator","272413",0
2011-01-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","Food Technologist","21461",0
2011-01-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","IT Consultant","21312",0
2011-01-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","Software Engineer","21312",0
2011-01-31,"Professionals","Teaching Professionals","University and Higher Education Lecturer and/or Tutor","23111",0
2011-01-31,"Professionals","Teaching Professionals","University Lecturer","23111",6
2011-01-31,"Response Outside Scope/Not Stated","Response Outside Scope/Not Stated","Not Stated","99999",30
2011-01-31,"Responses outside of the current definition of the labour force","Responses outside of the current definition of the labour force","Student","999910",6
2011-01-31,"Responses outside of the current definition of the labour force","Responses outside of the current definition of the labour force","Unemployed","999970",0
2011-01-31,"Sales Workers","Sales Assistants and Salespersons","Rental Salesperson","621912",3
2011-01-31,"Sales Workers","Sales Representatives and Agents","Property Manager","612112",3
2011-01-31,"Sales Workers","Sales Representatives and Agents","Real Estate Representative","612115",3
2011-01-31,"Sales Workers","Sales Support Workers","Retail Buyer","639211",0
2011-01-31,"Technicians and Associate Professionals","Physical Science and Engineering Associate Professionals","Computer Services Technician","31142",3
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Aircraft Maintenance Engineer (Avionics)","323111",0
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Aircraft Maintenance Engineer (Mechanical)","323112",3
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Automotive Electrician","321111",3
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Diesel Motor Mechanic","321212",9
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Fitter-Welder","323213",9
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Fitter (General)","323211",3
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Fitter and Turner","323212",3
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Locksmith","323313",0
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Metal Casting Trades Worker","322114",3
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Metal Fabricator","322311",0
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Metal Fitters and Machinists nec","323299",0
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Metal Polisher","322115",3
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Motor Mechanic (General)","321211",6
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Panelbeater","324111",3
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Pressure Welder","322312",0
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Sheetmetal Trades Worker","322211",0
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Toolmaker","323412",3
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Vehicle Body Builder","324211",3
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Vehicle Painter","324311",3
2011-01-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Welder (First Class) (Aus) / Welder (NZ)","322313",3
2011-01-31,"Technicians and Trades Workers","Construction Trades Workers","Carpenter","331212",9
2011-01-31,"Technicians and Trades Workers","Construction Trades Workers","Carpenter and Joiner","331211",3
2011-01-31,"Technicians and Trades Workers","Construction Trades Workers","Fibrous Plasterer","333211",0
2011-01-31,"Technicians and Trades Workers","Construction Trades Workers","Joiner","331213",0
2011-01-31,"Technicians and Trades Workers","Construction Trades Workers","Painting Trades Worker","332211",3
2011-01-31,"Technicians and Trades Workers","Construction Trades Workers","Plumber (General)","334111",6
2011-01-31,"Technicians and Trades Workers","Construction Trades Workers","Roof Tiler","333311",0
2011-01-31,"Technicians and Trades Workers","Construction Trades Workers","Solid Plasterer","333212",0
2011-01-31,"Technicians and Trades Workers","Construction Trades Workers","Stonemason","331112",0
2011-01-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Airconditioning and Refrigeration Mechanic","342111",6
2011-01-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Communications Operator","342312",3
2011-01-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Electrical Linesworker (Aus) / Electrical Line Mechanic (NZ)","342211",3
2011-01-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Electrician (General)","341111",6
2011-01-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Electronic Instrument Trades Worker (General)","342314",0
2011-01-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Telecommunications Cable Jointer","342412",3
2011-01-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Telecommunications Technician","342414",3
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Anaesthetic Technician","311211",3
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Chemistry Technician","311411",3
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Civil Engineering Technician","312212",0
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Earth Science Technician","311412",3
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Electrical Engineering Technician","312312",0
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Electronic Engineering Technician","312412",3
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Hardware Technician","313111",3
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","ICT Customer Support Officer","313112",18
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","ICT Support Technicians nec","313199",15
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Life Science Technician","311413",0
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Mechanical Engineering Draftsperson","312511",0
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Mechanical Engineering Technician","312512",0
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Medical Laboratory Technician","311213",3
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Medical Technicians nec","311299",0
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Radiocommunications Technician","313211",0
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Safety Inspector","312611",3
2011-01-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Telecommunications Field Engineer","313212",0
